4.244415942690846322e+00 4.324820266511848921e+00 4.372964549671563894e+00 4.389746384681711966e+00 4.380394531580298789e+00 4.358632552203203225e+00 4.337170965849684201e+00 4.321063778719132387e+00 4.310818537941743855e+00 4.305891794772252368e+00 4.305891794772148451e+00 4.310818469986424262e+00 4.321061538038195593e+00 4.337170985176945770e+00 4.358632553274664367e+00 4.380394532335971647e+00 4.389746384591493467e+00 4.372964551511506315e+00 4.324820267848282107e+00 4.244415942481319703e+00
2.316864548826322867e+00 2.329201219320618410e+00 2.317180623285022723e+00 2.286130256278898987e+00 2.245616965749568816e+00 2.207832278373153212e+00 2.179428337896194723e+00 2.160503880814745425e+00 2.149144649416228070e+00 2.143831523234080549e+00 2.143831523234101866e+00 2.149144623121992836e+00 2.160502629941579489e+00 2.179428349779700902e+00 2.207832278879517496e+00 2.245616965603083770e+00 2.286130256356189161e+00 2.317180624160064095e+00 2.329201220066981382e+00 2.316864548759904441e+00
1.904444904671958705e+00 1.890505114246123552e+00 1.857810931295018841e+00 1.814640308753186160e+00 1.770919201830165157e+00 1.735435499886500255e+00 1.710796872875090635e+00 1.695097802579661472e+00 1.685904327754817356e+00 1.681657901387350051e+00 1.681657901387379805e+00 1.685904307143893943e+00 1.695096733099573427e+00 1.710796881642558498e+00 1.735435500230021244e+00 1.770919201532804577e+00 1.814640308865762330e+00 1.857810931900243157e+00 1.890505114849170720e+00 1.904444904658682214e+00
1.709306395917745691e+00 1.679994276535090592e+00 1.638318191654842604e+00 1.593042992413529868e+00 1.552296132710099252e+00 1.521563298757837801e+00 1.501122027624738564e+00 1.488410228129388280e+00 1.481065611994615283e+00 1.477696353518643146e+00 1.477696353518670680e+00 1.481065595111391131e+00 1.488409278391795709e+00 1.501122034410290018e+00 1.521563299013836135e+00 1.552296132396973061e+00 1.593042992530062874e+00 1.638318192108234150e+00 1.679994277050362861e+00 1.709306395938335887e+00
1.588774722376869120e+00 1.550456284633923820e+00 1.505642841889480499e+00 1.462084856244989739e+00 1.425647304103223378e+00 1.399396526829407961e+00 1.382400368972869664e+00 1.371991577356747705e+00 1.366028730297562888e+00 1.363305310720348995e+00 1.363305310720372532e+00 1.366028716330481174e+00 1.371990728220938038e+00 1.382400374402753762e+00 1.399396527030125403e+00 1.425647303810070543e+00 1.462084856355207574e+00 1.505642842243242630e+00 1.550456285081166730e+00 1.588774722420116081e+00
1.504142969248884132e+00 1.460879551890533756e+00 1.415933207845944120e+00 1.375425025786609856e+00 1.343200773354617183e+00 1.320705982259822386e+00 1.306410894712848991e+00 1.297749859226288827e+00 1.292818227349206817e+00 1.290572857751036695e+00 1.290572857751057123e+00 1.292818215630815004e+00 1.297749096858124673e+00 1.306410899170277196e+00 1.320705982422611058e+00 1.343200773089603839e+00 1.375425025887580643e+00 1.415933208130209842e+00 1.460879552282019933e+00 1.504142969307066036e+00
1.440326401936239398e+00 1.394712069945774902e+00 1.351133796666740716e+00 1.313980119422830883e+00 1.285495334746407980e+00 1.266067630879640582e+00 1.253892310979216385e+00 1.246575315919270288e+00 1.242428253532089188e+00 1.240544660569435909e+00 1.240544660569453228e+00 1.242428243560858236e+00 1.246574628989556732e+00 1.253892314712427014e+00 1.266067631014955230e+00 1.285495334509340726e+00 1.313980119514288392e+00 1.351133796900612971e+00 1.394712070290921480e+00 1.440326402003949013e+00
1.390036536849718063e+00 1.343714041963569361e+00 1.302203513911621702e+00 1.268296808651666607e+00 1.243029853054625544e+00 1.226104886424171481e+00 1.215613560947074623e+00 1.209349294132700647e+00 1.205812089410388754e+00 1.204208632988534644e+00 1.204208632988549965e+00 1.205812080820772625e+00 1.209348673175807631e+00 1.215613564124472301e+00 1.226104886538786021e+00 1.243029852842885807e+00 1.268296808734264980e+00 1.302203514107814541e+00 1.343714042269965159e+00 1.390036536923181743e+00
1.349210101020977826e+00 1.303207553252203832e+00 1.264038605933578641e+00 1.233121025055793574e+00 1.210599241626579614e+00 1.195731242326697474e+00 1.186597115684772774e+00 1.181172320651124874e+00 1.178118617171111548e+00 1.176736599954153251e+00 1.176736599954166795e+00 1.178118609694072338e+00 1.181171757645427256e+00 1.186597118425042119e+00 1.195731242425239538e+00 1.210599241437074980e+00 1.233121025130448523e+00 1.264038606100857054e+00 1.303207553526007700e+00 1.349210101097570780e+00
1.315345280207540712e+00 1.270294221595086981e+00 1.233516609906807115e+00 1.205291121206786276e+00 1.185111689765093734e+00 1.171950451342272048e+00 1.163925522086928455e+00 1.159181075371237934e+00 1.156517411529052630e+00 1.155313603922065946e+00 1.155313603922077714e+00 1.156517404962414508e+00 1.159180563447606005e+00 1.163925524476401741e+00 1.171950451428033224e+00 1.185111689594895212e+00 1.205291121274425281e+00 1.233516610051395013e+00 1.270294221841298477e+00 1.315345280285445950e+00
